Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7073,Genji: Dawn of the Samurai,PS2,2005.0,Action,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23
16291,ef - a fairy tale of the two.,PS2,2010.0,Adventure,Comfort,0.0,0.0,0.01,0.0,0.01
14190,Crimson Tears,PS2,2004.0,Role-Playing,Capcom,0.02,0.01,0.0,0.0,0.03
1615,Ninja Gaiden,XB,2004.0,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23
12291,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993.0,Misc,Imax,0.0,0.0,0.06,0.0,0.06
16190,Jewel Quest II,PC,2007.0,Puzzle,Avanquest,0.0,0.01,0.0,0.0,0.01
4508,Wheel of Fortune,DS,2010.0,Misc,THQ,0.41,0.0,0.0,0.03,0.43
15911,Adventure Time: The Secret of the Nameless,3DS,2014.0,Adventure,Little Orbit,0.01,0.0,0.0,0.0,0.02
7408,Valkyria Chronicles III: Unrecorded Chronicles,PSP,,Strategy,Sega,0.0,0.0,0.21,0.0,0.21
15297,Detective Jinguuji Saburo: Ronde Revenge,3DS,2012.0,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02
9274,BIT.TRIP SAGA,3DS,2011.0,Misc,Rising Star Games,0.09,0.04,0.0,0.01,0.14
13619,Hana to Ikimo no Rittai Zukan,3DS,2011.0,Misc,Nintendo,0.0,0.0,0.04,0.0,0.04
11969,ESPN National Hockey Night,PS2,2001.0,Sports,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07
11494,Ultimate Shooting Collection,Wii,2008.0,Shooter,Milestone,0.08,0.0,0.0,0.0,0.08
2109,Xenoblade Chronicles,Wii,2010.0,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98
3059,Naruto Shippuden: Ultimate Ninja 4,PS2,2007.0,Fighting,Atari,0.26,0.01,0.13,0.26,0.66
10725,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008.0,Adventure,Alchemist,0.0,0.0,0.1,0.0,0.1
13264,Rugby 06,PS2,2006.0,Sports,Electronic Arts,0.02,0.02,0.0,0.01,0.05
10843,SingStar Apres-Ski Party 2,PS3,2010.0,Misc,Sony Computer Entertainment,0.0,0.07,0.0,0.02,0.09
3318,Split/Second,X360,2010.0,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.61
4209,The Sims 3: Outdoor Living Stuff,PC,2011.0,Simulation,Electronic Arts,0.0,0.38,0.0,0.09,0.47
8868,All-Star Baseball 2003,GC,2002.0,Sports,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15
9245,Famista Returns,3DS,2015.0,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
11109,Thomas & Friends: Hero of the Rails,DS,2010.0,Misc,Unknown,0.0,0.07,0.0,0.01,0.09
973,Midnight Club II,PS2,2003.0,Racing,Take-Two Interactive,1.25,0.29,0.0,0.24,1.78
10112,Murakumo: Renegade Mech Pursuit,XB,2002.0,Shooter,From Software,1.0,0.01,0.06,0.0,0.11
13425,Yager,XB,2003.0,Shooter,THQ,0.03,0.01,0.0,0.0,0.05
6764,Turning Point: Fall of Liberty,PS3,2008.0,Shooter,Codemasters,0.21,0.01,0.0,0.02,0.25
8285,Dementium: The Ward,DS,2007.0,Shooter,SouthPeak Games,0.15,0.01,0.0,0.01,0.17
13508,TOCA Race Driver 2,XB,2004.0,Racing,Codemasters,0.03,0.01,0.0,0.0,0.04
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
9016,Shining Force CD,SCD,1994.0,Strategy,Sega,0.0,0.0,0.14,0.0,0.14
6652,Family Guy: Back to the Multiverse,X360,2012.0,Action,Activision,0.14,0.09,0.0,0.02,0.25
1918,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011.0,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08
14153,Kekkaishi: Kokubourou no Kage,Wii,2007.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
4263,Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016.0,Action,Nintendo,1.0,0.16,0.24,0.01,0.46
11241,Million God,PS2,2002.0,Misc,Nippon Amuse,0.0,0.0,0.09,0.0,0.09
5983,Kurohyou: Ryu ga Gotoku Shinshou,PSP,2010.0,Adventure,Sega,0.0,0.0,0.29,0.0,0.29
2615,Armored Core 2,PS2,2000.0,Simulation,Ubisoft,0.28,0.22,0.23,0.07,0.79
14556,Culdcept,PS2,2002.0,Strategy,Sega,0.01,0.01,0.0,0.0,0.03
1996,ATV: Quad Power Racing,PS,2000.0,Racing,Acclaim Entertainment,0.58,0.39,0.0,0.07,1.04
4244,Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993.0,Platform,Namco Bandai Games,0.0,0.0,0.46,0.0,0.46
2213,MLB 2000,PS,1999.0,Sports,Sony Computer Entertainment,0.52,0.35,0.0,0.06,0.94
13373,Arctic Tale,Wii,2007.0,Adventure,Zoo Digital Publishing,1.0,0.0,0.0,0.0,0.05
10709,Piglet's Big Game,PS2,2003.0,Platform,Gotham Games,0.05,0.04,0.0,0.01,0.1
2340,CSI: Hard Evidence,Wii,2008.0,Adventure,Ubisoft,0.36,0.43,0.0,0.1,0.89
14853,Shakugan no Shana,PS2,2006.0,Adventure,Media Works,0.0,0.0,0.03,0.0,0.03
11830,Wrath Unleashed,PS2,2004.0,Strategy,LucasArts,1.0,0.03,0.0,0.01,0.07
10550,Creeper World 3: Arc Eternal,Wii,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.1,0.0,0.1
653,LEGO Indiana Jones: The Original Adventures,Wii,,Action,LucasArts,1.54,0.63,0.0,0.22,2.39
12440,Akai Katana Shin,X360,2011.0,Shooter,Cave,1.0,0.0,0.01,0.0,0.06
12156,Driver: Parallel Lines,XB,2006.0,Racing,Atari,0.05,0.01,0.0,0.0,0.07
14232,Utawarerumono Portable,PSP,2009.0,Role-Playing,Aqua Plus,0.0,0.0,0.03,0.0,0.03
3022,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006.0,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67
10239,Top Angler: Real Bass Fishing,PS2,2002.0,Sports,Xicat Interactive,0.05,0.04,0.0,0.01,0.11
8887,Scarface: The World is Yours,Wii,2007.0,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.15
14612,Attack on Titan (KOEI),XOne,2016.0,Action,Tecmo Koei,0.01,0.01,0.0,0.0,0.03
11329,The Seven Deadly Sins: Unjust Sin,3DS,2015.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
15978,You Don't Know Jack,PC,1995.0,Misc,Vivendi Games,0.01,0.0,0.0,0.0,0.02
7694,Looney Tunes: Space Race,PS2,2002.0,Racing,Infogrames,0.1,0.08,0.0,0.03,0.2
2951,Halo 2 Multiplayer Map Pack,XB,2005.0,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69
1529,Mega Man Battle Network 3 Blue / White Version,GBA,2002.0,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29
14023,S.T.A.L.K.E.R.: Clear Sky,PC,2008.0,Shooter,Deep Silver,0.0,0.03,0.0,0.01,0.04
13672,Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
10190,Brave Story: New Traveler (US sales),PSP,2006.0,Role-Playing,Sony Computer Entertainment,0.11,0.0,0.0,0.0,0.11
3092,Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.66,0.0,0.66
1288,Assassin's Creed III: Liberation,PSV,2012.0,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47
7058,Mega Man & Bass,GBA,2002.0,Platform,Capcom,0.16,0.06,0.0,0.0,0.23
9938,Love Live! School Idol Paradise,PSV,2014.0,Misc,Kadokawa Games,0.0,0.0,0.12,0.0,0.12
3918,Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002.0,Platform,THQ,0.37,0.14,0.0,0.01,0.51
5319,The Shoot,PS3,2010.0,Shooter,Sony Computer Entertainment,0.13,0.16,0.01,0.06,0.35
14559,Blue Breaker: Ken Yorimo Hohoemi o,PCFX,1996.0,Role-Playing,NEC,0.0,0.0,0.03,0.0,0.03
2889,Tactics Ogre: Let Us Cling Together,SNES,1995.0,Role-Playing,Quest,0.0,0.0,0.71,0.0,0.71
16260,Makai Senki Disgaea 3 Append Disc: Raspberyl-hen Hajime Mashita,PS3,2009.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01
15445,Legend of Kay Anniversary,PS4,2015.0,Action,Nordic Games,0.0,0.02,0.0,0.0,0.02
762,FIFA 15,XOne,2014.0,Sports,Electronic Arts,0.6,1.41,0.0,0.14,2.15
15894,Trigger Man,GC,2004.0,Shooter,Crave Entertainment,0.01,0.0,0.0,0.0,0.02
11659,Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007.0,Fighting,Takara Tomy,0.0,0.0,0.08,0.0,0.08
11722,Disaster: Day of Crisis,Wii,2008.0,Action,Nintendo,0.0,0.03,0.04,0.0,0.08
15144,Invizimals: The Lost Kingdom,PS3,2013.0,Action,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.02
7042,Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014.0,Fighting,Namco Bandai Games,0.13,0.08,0.0,0.02,0.23
5838,Stranglehold,PS3,2007.0,Shooter,Midway Games,0.24,0.03,0.0,0.03,0.3
14096,Hakuouki: Zuisouroku DS,DS,2011.0,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04
10544,Capcom vs. SNK 2 EO,XB,2003.0,Fighting,Capcom,0.08,0.02,0.0,0.0,0.1
12385,Blur,PC,2010.0,Racing,Activision,0.01,0.04,0.0,0.01,0.06
4300,iCarly,Wii,2009.0,Adventure,Activision,0.42,0.0,0.0,0.03,0.46
11816,Uprising X,PS,1998.0,Action,3DO,1.0,0.03,0.0,0.0,0.07
10835,Ghostbusters: The Video Game (DS Version),PC,2010.0,Action,Take-Two Interactive,0.0,0.08,0.0,0.02,0.09
14913,Monster Mayhem: Build and Battle,DS,2009.0,Simulation,Zushi Games,0.02,0.0,0.0,0.0,0.02
1343,Need for Speed Rivals,PS3,2013.0,Racing,Electronic Arts,0.33,0.74,0.05,0.31,1.44
6997,Hatsune Miku: Project Diva f,PSV,2012.0,Misc,Sega,0.0,0.0,0.23,0.0,0.23
3870,Harry Potter and the Prisoner of Azkaban,GBA,2004.0,Action,Electronic Arts,0.37,0.14,0.0,0.01,0.52
5035,Final Fantasy Adventure,GB,1991.0,Role-Playing,SquareSoft,0.0,0.0,0.38,0.0,0.38
7586,Imagine: Babyz Fashion,DS,2009.0,Simulation,Ubisoft,0.19,0.0,0.0,0.01,0.2
13101,Suzuki Super-Bikes II: Riding Challenge,DS,2008.0,Racing,Valcon Games,0.05,0.0,0.0,0.0,0.05
10621,Vanishing Point,PS,2001.0,Racing,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1
8524,N2O: Nitrous Oxide,PS,1998.0,Racing,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.16
4114,Secret Weapons Over Normandy,PS2,2003.0,Simulation,LucasArts,0.24,0.18,0.0,0.06,0.48
4125,Theme Park Roller Coaster,PS2,2000.0,Strategy,Electronic Arts,0.23,0.18,0.0,0.06,0.48
11881,Hakuouki: Yuugi Roku,PSP,2010.0,Adventure,Idea Factory,0.0,0.0,0.07,0.0,0.07
12493,Alvin and the Chipmunks,Wii,2007.0,Misc,Eidos Interactive,0.05,0.0,0.0,0.0,0.06
7308,EVE Online,PC,2003.0,Role-Playing,CCP,0.0,0.19,0.0,0.02,0.22
14679,Tom and Jerry in War of the Whiskers,XB,,Fighting,Unknown,0.02,0.01,0.0,0.0,0.03
16143,BlazBlue: Calamity Trigger,PC,2010.0,Fighting,PQube,0.0,0.01,0.0,0.0,0.01
3057,Tony Hawk's Proving Ground,PS2,2007.0,Sports,Activision,0.55,0.02,0.0,0.09,0.66
13725,Shattered Union,XB,2005.0,Strategy,Take-Two Interactive,0.03,0.01,0.0,0.0,0.04
12581,TrackMania Turbo,XOne,2016.0,Action,Ubisoft,0.02,0.03,0.0,0.0,0.06
4727,Command & Conquer: Red Alert,PS,1997.0,Strategy,Virgin Interactive,0.23,0.16,0.0,0.03,0.41
7009,Sword Art Online: Lost Song,PS4,2015.0,Role-Playing,Namco Bandai Games,0.09,0.1,0.0,0.04,0.23
16302,Moe Moe 2-Ji Daisenryaku 2,PSP,2010.0,Strategy,System Soft,0.0,0.0,0.01,0.0,0.01
11878,Disney's Donald Duck Advance,GBA,2001.0,Platform,Ubisoft,0.05,0.02,0.0,0.0,0.07
8116,Aliens: Colonial Marines,PC,2013.0,Shooter,Sega,0.1,0.06,0.0,0.02,0.18
10255,Outlaw Golf: Nine Holes of Christmas,XB,2002.0,Sports,Simon & Schuster Interactive,0.08,0.02,0.0,0.0,0.11
12132,Deep Labyrinth,DS,2006.0,Action,505 Games,0.06,0.0,0.0,0.0,0.07
7215,LEGO Harry Potter: Years 5-7,PC,,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22
11461,Space Channel 5 Special Edition,PS2,2003.0,Misc,Agetec,1.0,0.03,0.0,0.01,0.08
10995,JASF: Jane's Advanced Strike Fighters,X360,2011.0,Simulation,Deep Silver,0.06,0.02,0.0,0.01,0.09
3947,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009.0,Adventure,GSP,0.12,0.33,0.0,0.06,0.51
16101,Ben 10 Omniverse 2,X360,2013.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01
2619,Drawn to Life,DS,2007.0,Action,THQ,0.71,0.02,0.0,0.06,0.79
16070,IL-2 Sturmovik,PC,2001.0,Simulation,Blue Byte,0.0,0.01,0.0,0.0,0.01
8982,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995.0,Fighting,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
14988,Diabolik Lovers: Vandead Carnival,PSV,2014.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
7185,Hidden Mysteries: Buckingham Palace,DS,2010.0,Puzzle,Avanquest,0.13,0.07,0.0,0.02,0.22
5539,NCAA GameBreaker 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.33
1704,Pokemon Super Mystery Dungeon,3DS,2015.0,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19
5628,Dance Dance Revolution Universe,X360,2007.0,Simulation,Konami Digital Entertainment,0.3,0.0,0.0,0.02,0.32
9905,A.C.E.: Another Century's Episode Portable,PSP,2011.0,Simulation,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
2909,Command & Conquer: Red Alert Retaliation,PS,1998.0,Strategy,Virgin Interactive,0.39,0.27,0.0,0.05,0.7
15116,Namco Museum Battle Collection (JP sales),PSP,2005.0,Misc,Sony Computer Entertainment,0.0,0.0,0.02,0.0,0.02
13277,Amnesia Crowd,PSP,2013.0,Misc,Idea Factory,0.0,0.0,0.05,0.0,0.05
9284,Learn Math,DS,2009.0,Puzzle,DreamCatcher Interactive,0.13,0.0,0.0,0.01,0.14
11332,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,1991.0,Misc,Epoch,0.0,0.0,0.08,0.0,0.08
7075,Wipeout 2,3DS,2011.0,Misc,Activision,0.22,0.0,0.0,0.01,0.23
14706,Moto Racer DS,DS,2008.0,Racing,Nobilis,0.0,0.02,0.0,0.0,0.03
240,Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,0.05,4.5
11797,Hero Bank,3DS,2014.0,Role-Playing,Sega,0.0,0.0,0.07,0.0,0.07
1935,Disney Universe,Wii,2011.0,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
14202,Sunday vs Magazine Shuuketsu! Choujou Daikessen,PSP,2009.0,Fighting,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
8637,Chessmaster: The Art of Learning,DS,2007.0,Misc,Ubisoft,0.12,0.03,0.0,0.01,0.16
7297,American Idol,GBA,2003.0,Misc,Codemasters,0.15,0.06,0.0,0.0,0.22
2844,Jampack Winter 2001,PS2,2001.0,Misc,Sony Computer Entertainment,0.35,0.28,0.0,0.09,0.72
773,Toy Story 3: The Video Game,DS,2010.0,Action,Disney Interactive Studios,0.93,0.97,0.02,0.21,2.12
4425,Food Network: Cook or Be Cooked,Wii,2009.0,Misc,Namco Bandai Games,0.41,0.0,0.0,0.03,0.44
4696,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,PSP,2009.0,Fighting,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
2902,Spider-Man 2,PSP,2005.0,Action,Activision,0.35,0.21,0.0,0.14,0.71
8293,Backyard NFL Football '09,PS2,2008.0,Sports,Atari,0.08,0.07,0.0,0.02,0.17
3170,Konami Collector's Series: Arcade Advanced,GBA,2002.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64
16369,Hakuouki: Shinsengumi Kitan,PS3,,Adventure,Unknown,0.01,0.0,0.0,0.0,0.01
16060,PDC World Championship Darts 2008,PSP,,Sports,Oxygen Interactive,0.01,0.0,0.0,0.0,0.01
7881,NBA 2K11,PC,2010.0,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19
13898,E.T. The Extra-Terrestrial: Interplanetary Mission,PS,2001.0,Platform,Ubisoft,0.02,0.01,0.0,0.0,0.04
8946,Yu-Gi-Oh! Nightmare Troubadour (US sales),DS,2005.0,Action,Konami Digital Entertainment,0.15,0.0,0.0,0.0,0.15
15417,Worms,X360,2007.0,Strategy,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.02
2339,Finding Nemo,GC,2003.0,Action,THQ,0.69,0.18,0.0,0.02,0.89
13786,Guild Wars Trilogy,PC,2005.0,Role-Playing,NCSoft,0.0,0.03,0.0,0.01,0.04
3030,The LEGO Movie Videogame,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
11361,Petz: Dogz Family,PSP,2009.0,Simulation,Ubisoft,0.05,0.02,0.0,0.01,0.08
6782,Avalon Code,DS,2008.0,Role-Playing,Rising Star Games,0.11,0.0,0.12,0.01,0.24
3983,Super Robot Taisen MX,PS2,2004.0,Strategy,Banpresto,0.0,0.0,0.5,0.0,0.5
7333,Disaster Report,PS2,2002.0,Action,Agetec,0.03,0.02,0.15,0.01,0.21
9608,Black Dawn,PS,1996.0,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13
5076,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011.0,Role-Playing,Ghostlight,0.28,0.01,0.06,0.02,0.38
1446,Mortal Kombat X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.0,0.21,0.0,0.13,1.35
2685,All-Star Baseball 2003,PS2,2002.0,Sports,Acclaim Entertainment,0.38,0.29,0.0,0.1,0.77
10183,Smash Court Tennis 3,X360,2007.0,Sports,Atari,0.08,0.02,0.0,0.01,0.11
1255,Tokyo Xtreme Racer Zero,PS2,2000.0,Racing,Crave Entertainment,0.66,0.52,0.15,0.17,1.5
5952,Batman: The Brave and the Bold the Videogame,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.22,0.06,0.0,0.02,0.3
9814,My Farm Around the World,DS,2008.0,Simulation,Atari,0.11,0.0,0.0,0.01,0.12
15491,Dynasty Warriors 8: Empires,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
13265,Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004.0,Action,Microsoft Game Studios,1.0,0.01,0.0,0.0,0.05
10861,Rygar: The Battle of Argus,Wii,2008.0,Action,Rising Star Games,0.09,0.0,0.0,0.01,0.09
11913,Moxie Girlz,DS,2011.0,Misc,GameMill Entertainment,0.07,0.0,0.0,0.0,0.07
13309,World Championship Pool 2004,PS2,2004.0,Sports,Jaleco,0.02,0.02,0.0,0.01,0.05
6515,Riding Spirits,PS2,2002.0,Racing,BAM! Entertainment,0.13,0.1,0.0,0.03,0.26
8354,Space Griffon VF-9,PS,1995.0,Role-Playing,Panther Software,0.02,0.02,0.12,0.01,0.17
7865,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.19,0.0,0.19
6939,Tony Hawk's Downhill Jam,Wii,,Sports,Activision,0.21,0.0,0.0,0.02,0.24
2381,Derby Stallion II,SNES,1994.0,Sports,ASCII Entertainment,0.0,0.0,0.87,0.0,0.87
5908,Rabbids: Alive & Kicking,X360,2011.0,Misc,Ubisoft,0.15,0.12,0.0,0.03,0.3
16074,World Poker Tour,GBA,2005.0,Misc,Take-Two Interactive,0.01,0.0,0.0,0.0,0.01
5147,Theatrhythm Final Fantasy: Curtain Call,3DS,2014.0,Misc,Square Enix,0.13,0.08,0.15,0.02,0.37
12426,Winx Club: Quest for the Codex,DS,2006.0,Action,Konami Digital Entertainment,0.03,0.02,0.0,0.01,0.06
10989,Disney's The Haunted Mansion,XB,2003.0,Platform,Take-Two Interactive,0.07,0.02,0.0,0.0,0.09
837,Need for Speed: The Run,PS3,2011.0,Action,Electronic Arts,0.58,1.06,0.03,0.37,2.04
3579,Knockout Kings 2001,PS2,2001.0,Fighting,Electronic Arts,0.28,0.21,0.0,0.07,0.56
5692,Quiz Magic Academy DS,DS,2008.0,Misc,Konami Digital Entertainment,0.0,0.0,0.32,0.0,0.32
10427,Princess Debut,DS,2008.0,Misc,Cave,0.1,0.0,0.0,0.01,0.1
4687,pro evolution soccer 2011,PS2,2010.0,Sports,Konami Digital Entertainment,1.0,0.21,0.05,0.11,0.41
15154,Balls of Fury,Wii,2007.0,Sports,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02
3311,Duke Nukem: Total Meltdown,PS,1997.0,Shooter,GT Interactive,0.34,0.23,0.0,0.04,0.61
1531,Resident Evil Zero,GC,2002.0,Action,Capcom,0.54,0.27,0.45,0.04,1.29
14844,SWAT 4,PC,2005.0,Shooter,Vivendi Games,0.0,0.02,0.0,0.0,0.03
495,Titanfall,XOne,2014.0,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9
15120,Samurai Shodown V,XB,2006.0,Fighting,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02
13279,Pachitte Chonmage Tatsujin 15: Pachinko Fuyu no Sonata 2,PS2,2008.0,Misc,Hackberry,0.0,0.0,0.05,0.0,0.05
12664,Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,2007.0,Fighting,Takara Tomy,0.0,0.0,0.06,0.0,0.06
11065,Detana TwinBee Yahho! Deluxe Pack,PS,1995.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.08,0.01,0.09
7251,Lethal Skies Elite Pilot: Team SW,PS2,2001.0,Simulation,Sammy Corporation,0.11,0.08,0.0,0.03,0.22
13594,Battle Rage,Wii,2008.0,Shooter,Popcorn Arcade,1.0,0.0,0.0,0.0,0.04
756,Tennis,NES,1984.0,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
16343,Grooverider: Slot Car Thunder,GC,2003.0,Racing,Encore,0.01,0.0,0.0,0.0,0.01
5417,Spy Hunter,XB,2002.0,Racing,Midway Games,0.25,0.07,0.0,0.01,0.34
9762,Gundam Memories: Tatakai no Kioku,PSP,2011.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
5550,Eternal Sonata,X360,2007.0,Role-Playing,Atari,0.19,0.04,0.08,0.02,0.33
15741,Clue / Mouse Trap / Perfection / Aggravation,DS,2006.0,Misc,Unknown,0.02,0.0,0.0,0.0,0.02
459,Kung Fu Panda,X360,2008.0,Action,Activision,1.91,0.84,0.0,0.29,3.05
312,Tekken 5,PS2,2005.0,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
1299,Xenogears,PS,1998.0,Role-Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46
8079,Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.13,0.05,0.0,0.0,0.18
8893,Major League Baseball 2K13,PS3,2013.0,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15
12706,Blade Dancer: Lineage of Light,PSP,2006.0,Role-Playing,Atari,0.05,0.0,0.0,0.0,0.06
